,MIN_x,FGM_x,FGA_x,FG_PCT_x,FG3M_x,FG3A_x,FG3_PCT_x,FTM_x,FTA_x,FT_PCT_x,OREB_x,DREB_x,REB_x,AST_x,STL_x,BLK_x,TOV_x,PF_x,PTS_x,PLUS_MINUS_x,HOME_x,MIN_y,FGM_y,FGA_y,FG_PCT_y,FG3M_y,FG3A_y,FG3_PCT_y,FTM_y,FTA_y,FT_PCT_y,OREB_y,DREB_y,REB_y,AST_y,STL_y,BLK_y,TOV_y,PF_y,PTS_y,PLUS_MINUS_y,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,days_rest,rolling_avg,rolling_3pa_avg,min_rolling,rolling_team_fta,rolling_opp_pts,rolling_opp_fga,rolling_team_fga,rolling_fga,rolling_fta,rolling_team_3pa,rolling_team_pts,rolling_team_fg_pct,rolling_stls,TEAM_x_LAC,OPPONENT_x_ATL,OPPONENT_x_BKN,OPPONENT_x_BOS,OPPONENT_x_CHA,OPPONENT_x_CHI,OPPONENT_x_CLE,OPPONENT_x_DAL,OPPONENT_x_DEN,OPPONENT_x_DET,OPPONENT_x_GSW,OPPONENT_x_HOU,OPPONENT_x_IND,OPPONENT_x_LAL,OPPONENT_x_MEM,OPPONENT_x_MIA,OPPONENT_x_MIL,OPPONENT_x_MIN,OPPONENT_x_NOP,OPPONENT_x_NYK,OPPONENT_x_OKC,OPPONENT_x_ORL,OPPONENT_x_PHI,OPPONENT_x_PHX,OPPONENT_x_POR,OPPONENT_x_SAC,OPPONENT_x_SAS,OPPONENT_x_TOR,OPPONENT_x_UTA,OPPONENT_x_WAS,WL_x_L,WL_x_W
10,36,5,13,0.385,2,9,0.222,3,4,0.75,1,4,5,10,1,1,2,1,15,21,False,240,44,77,0.571,14,33,0.424,23,27,0.852,7,33,40,26,8,8,17,21,125,8,240,45,93,0.484,12,33,0.364,15,25,0.6,15,26,41,29,11,1,10,19,117,-8,2.0,13.0,6.4,36.0,19.8,115.0,87.4,84.0,12.0,3.6,28.2,111.2,0.504,7.6,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
11,36,6,11,0.545,5,9,0.556,2,2,1.0,0,4,4,14,0,1,3,1,19,22,False,240,45,86,0.523,13,31,0.419,13,15,0.867,8,34,42,29,15,7,12,13,116,13,240,39,81,0.481,15,34,0.441,10,15,0.667,8,30,38,21,6,4,17,16,103,-13,2.0,14.6,6.8,35.8,20.4,116.2,86.4,84.2,11.8,3.0,29.6,114.4,0.5122000000000001,6.8,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
12,36,3,10,0.3,2,5,0.4,1,1,1.0,0,6,6,9,1,1,3,2,9,-15,True,240,28,74,0.378,11,36,0.306,26,29,0.897,10,30,40,17,10,5,16,13,93,-17,240,41,84,0.488,17,34,0.5,11,12,0.917,10,35,45,32,10,7,16,22,110,17,3.0,13.2,6.0,35.2,22.2,116.8,86.8,81.0,10.8,2.8,29.6,111.4,0.499,8.2,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
13,34,4,10,0.4,2,6,0.333,2,2,1.0,0,2,2,7,2,0,4,1,12,-15,True,240,34,72,0.472,11,30,0.367,21,25,0.84,8,26,34,22,7,4,18,18,100,-18,240,48,94,0.511,12,33,0.364,10,14,0.714,19,29,48,26,11,6,11,20,118,18,5.0,13.4,7.0,35.2,22.8,113.8,88.4,78.4,11.4,2.2,31.6,108.2,0.4852,9.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
14,36,5,16,0.313,1,6,0.167,2,2,1.0,3,2,5,11,0,0,5,4,13,-13,True,240,47,104,0.452,14,47,0.298,9,10,0.9,17,35,52,30,3,9,10,23,117,-7,240,43,87,0.494,17,38,0.447,21,27,0.778,7,34,41,28,5,6,7,15,124,7,2.0,13.6,7.0,35.6,21.2,114.4,87.8,82.6,12.0,2.2,35.4,110.2,0.47919999999999996,8.6,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
15,34,4,10,0.4,4,10,0.4,2,2,1.0,0,11,11,10,1,0,1,2,14,4,True,240,42,84,0.5,12,35,0.343,16,18,0.889,9,36,45,29,7,6,16,20,112,10,240,37,86,0.43,13,35,0.371,15,19,0.789,12,26,38,27,7,3,12,19,102,-10,1.0,13.4,7.2,35.2,19.4,111.4,86.4,84.0,11.4,1.8,35.8,107.6,0.465,7.8,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
16,39,6,13,0.462,1,5,0.2,8,8,1.0,0,5,5,7,1,1,2,2,21,8,False,240,44,80,0.55,12,29,0.414,22,26,0.846,8,33,41,19,5,8,9,17,122,6,240,45,94,0.479,16,37,0.432,10,17,0.588,13,25,38,33,6,2,8,21,116,-6,3.0,13.8,6.4,35.8,21.6,114.0,89.0,82.8,11.8,3.0,35.4,108.8,0.4704,7.8,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
17,37,9,16,0.563,5,10,0.5,6,9,0.667,0,4,4,8,0,1,3,2,29,-4,False,240,37,84,0.44,16,40,0.4,16,25,0.64,5,33,38,25,9,3,14,21,106,-7,240,37,78,0.474,15,38,0.395,24,28,0.857,7,39,46,20,8,3,12,20,113,7,2.0,17.8,7.4,36.0,20.8,114.6,87.8,84.8,13.0,4.6,36.2,111.4,0.4828,7.4,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
18,34,0,10,0.0,0,6,0.0,4,4,1.0,0,5,5,10,1,2,1,1,4,-10,False,240,32,85,0.376,10,34,0.294,15,17,0.882,7,33,40,17,7,5,9,12,89,1,240,31,80,0.388,9,33,0.273,17,18,0.944,12,42,54,24,4,7,15,14,88,-1,1.0,16.2,7.4,36.0,19.2,108.6,85.0,87.4,13.0,5.0,37.0,109.2,0.4636,6.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
19,25,9,13,0.692,6,9,0.667,4,4,1.0,1,3,4,8,0,3,3,1,28,19,True,240,54,94,0.574,13,32,0.406,19,25,0.76,9,40,49,32,5,7,9,13,140,25,240,46,98,0.469,12,34,0.353,11,15,0.733,9,30,39,29,5,3,10,17,115,-25,2.0,19.2,8.0,33.8,22.2,106.8,87.2,85.4,12.4,5.4,34.0,113.8,0.488,6.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True
20,40,8,16,0.5,2,9,0.222,5,6,0.833,1,2,3,9,1,0,4,1,23,-12,True,240,45,89,0.506,10,37,0.27,12,16,0.75,9,27,36,29,10,1,14,17,112,-4,240,47,86,0.547,14,36,0.389,8,10,0.8,8,31,39,28,6,5,17,12,116,4,2.0,21.0,7.8,35.0,21.8,109.6,87.2,86.4,13.6,6.2,34.4,113.8,0.48919999999999997,5.8,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
21,35,4,13,0.308,2,10,0.2,10,10,1.0,0,5,5,8,0,0,3,3,20,-25,True,240,40,82,0.488,8,27,0.296,19,20,0.95,10,29,39,23,7,2,16,14,107,-16,240,45,91,0.495,15,37,0.405,18,22,0.818,14,27,41,29,10,1,10,15,123,16,3.0,20.8,8.8,34.2,20.6,111.0,86.6,86.8,13.6,6.6,34.0,110.8,0.4768,6.6,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
22,39,1,8,0.125,1,4,0.25,6,7,0.857,1,7,8,8,0,1,4,0,9,3,False,240,37,84,0.44,12,32,0.375,15,17,0.882,14,37,51,20,7,2,21,20,101,6,240,38,91,0.418,8,35,0.229,11,16,0.688,14,27,41,26,12,3,13,17,95,-6,2.0,16.8,7.6,34.6,19.0,107.4,89.2,86.8,12.0,6.2,32.4,109.8,0.4768,7.4,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
23,29,5,9,0.556,3,6,0.5,4,4,1.0,2,4,6,2,1,0,3,2,17,-7,False,240,42,93,0.452,12,32,0.375,11,13,0.846,11,31,42,27,6,2,14,15,107,-22,240,50,90,0.556,17,35,0.486,12,17,0.706,8,36,44,24,9,11,15,16,129,22,1.0,19.4,7.6,33.6,18.2,115.6,91.2,88.4,11.8,6.2,32.0,113.4,0.492,8.4,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
24,40,7,12,0.583,4,9,0.444,8,9,0.889,2,6,8,7,0,1,1,0,26,13,False,240,44,88,0.5,13,38,0.342,29,37,0.784,12,36,48,28,6,4,12,21,130,5,240,47,103,0.456,18,47,0.383,13,18,0.722,13,34,47,34,7,2,9,25,125,-5,8.0,19.0,7.6,36.6,20.6,117.6,92.2,87.2,11.6,7.2,33.2,111.4,0.4772,8.8,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
25,32,5,13,0.385,3,8,0.375,4,5,0.8,0,2,2,6,1,1,0,0,17,-9,True,240,34,84,0.405,9,28,0.321,23,26,0.885,10,26,36,20,6,3,13,14,100,-21,240,46,86,0.535,11,34,0.324,18,19,0.947,9,32,41,33,9,7,13,20,121,21,2.0,17.8,7.4,35.0,22.6,118.6,92.2,86.2,11.0,7.0,31.4,109.0,0.457,9.4,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
26,36,4,11,0.364,2,8,0.25,4,4,1.0,0,6,6,8,1,1,5,1,14,8,True,240,37,82,0.451,13,39,0.333,25,26,0.962,0,35,35,20,9,6,11,13,112,6,240,45,102,0.441,9,30,0.3,7,7,1.0,14,43,57,27,7,2,14,19,106,-6,2.0,16.6,7.0,35.2,23.8,115.2,94.4,86.2,10.6,5.8,33.8,110.0,0.44960000000000006,8.8,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
27,38,6,11,0.545,5,6,0.833,2,3,0.667,1,7,8,5,1,1,4,2,19,-1,True,240,36,78,0.462,12,32,0.375,22,26,0.846,8,29,37,23,7,2,19,17,106,-11,240,47,88,0.534,12,32,0.375,11,16,0.688,8,30,38,30,13,5,15,17,117,11,3.0,18.6,7.4,35.0,25.6,119.6,93.8,85.0,11.2,5.0,33.8,111.0,0.454,9.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
28,39,7,14,0.5,6,9,0.667,10,10,1.0,2,6,8,10,2,1,2,3,30,11,False,240,52,89,0.584,21,35,0.6,24,31,0.774,8,28,36,32,8,5,8,19,149,5,240,51,95,0.537,20,39,0.513,22,27,0.815,13,26,39,35,5,4,11,22,144,-5,2.0,21.2,8.0,37.0,29.2,122.6,94.8,84.2,12.2,6.2,34.4,119.4,0.48040000000000005,8.2,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
29,42,7,13,0.538,5,9,0.556,2,4,0.5,0,8,8,11,1,1,4,1,21,10,False,240,34,77,0.442,16,39,0.41,19,22,0.864,9,39,48,23,6,5,17,12,103,8,240,38,91,0.418,8,30,0.267,11,12,0.917,12,33,45,24,9,0,10,19,95,-8,1.0,20.2,8.0,37.4,26.2,116.6,92.4,82.0,12.4,5.2,34.6,114.0,0.46880000000000005,8.6,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
30,34,1,10,0.1,0,5,0.0,2,2,1.0,1,2,3,6,1,0,1,1,4,8,False,240,53,89,0.596,14,29,0.483,16,19,0.842,7,29,36,31,12,5,11,21,136,11,240,45,89,0.506,17,40,0.425,18,24,0.75,13,25,38,28,5,3,17,18,125,-11,2.0,17.6,7.4,37.8,24.8,117.4,93.0,83.0,11.8,4.6,34.8,121.2,0.507,7.8,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
31,33,7,15,0.467,5,10,0.5,6,6,1.0,1,8,9,5,2,4,2,2,25,20,False,240,47,100,0.47,12,30,0.4,19,22,0.864,18,34,52,25,9,7,8,16,125,16,240,45,97,0.464,9,29,0.31,10,15,0.667,12,33,45,19,4,10,13,19,109,-16,2.0,19.8,7.8,37.2,24.0,118.0,92.0,86.6,12.6,5.0,33.0,123.8,0.5107999999999999,7.2,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True
